"","price","abtest","vehicleType","yearOfRegistration","gearbox","powerPS","kilometer","fuelType","notRepairedDamage"
"372",8700,"test","limousine",2010,"manuell",105,150000,"diesel","nein"
"373",9350,"control","limousine",2010,"manuell",122,70000,"benzin","nein"
"374",3900,"test","kleinwagen",2008,"manuell",69,30000,"benzin","ja"
"375",7990,"control","limousine",2009,"manuell",80,50000,"benzin","nein"
"376",4700,"test","cabrio",2001,"automatik",163,150000,"benzin","nein"
"377",1400,"test","kleinwagen",2003,"manuell",73,150000,"benzin","ja"
"378",25500,"control","limousine",2012,"automatik",204,40000,"diesel","nein"
"379",2000,"test","limousine",2001,"manuell",98,150000,"benzin","nein"
"380",3500,"control","limousine",2008,"manuell",105,150000,"diesel","ja"
"381",3599,"test","kleinwagen",2007,"manuell",60,150000,"benzin","nein"
"382",11200,"test","bus",2011,"manuell",105,50000,"benzin","nein"
"383",1599,"test","bus",2001,"manuell",63,125000,"benzin","nein"
